Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
291,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 39 - Bonot (Pob.),PH050506037,0.4738
292,Region V,PH050000000,Albay,PH050500000,Legazpi City,PH050506000,Bgy. 22 - Binanuahan East (Pob.),PH050506019,0.0763
293,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,North Baluarte,PH063022118,0.1259
294,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Bantud,PH063022015,0.1261
295,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Hibao-an Norte,PH063022152,0.88
296,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Cuartero,PH063022040,0.2656
297,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Monica Blumentritt,PH063022020,0.0626
298,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Mohon,PH063022109,0.1506
299,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Molo Boulevard,PH063022110,0.2428
300,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Antonio,PH063022149,0.2179
301,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,East Baluarte,PH063022052,0.0931
302,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Rizal Ibarra,PH063022138,0.0291
303,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Tabucan,PH063022176,0.3465
304,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Tagbac,PH063022179,1.3724
305,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Edganzon,PH063022054,0.1033
306,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Libertad-Lapuz,PH063022092,0.0383
307,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Progreso-Lapuz,PH063022132,0.2741
308,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Laguda,PH063022085,0.0537
309,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Rafael,PH063022160,1.593
310,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Quezon,PH063022134,0.1627
311,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Cochero,PH063022035,0.0588
312,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Caingin,PH063022029,0.2427
313,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Yulo Drive,PH063022194,0.5085
314,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Sambag,PH063022144,1.2658
315,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Lopez Jaena Norte,PH063022095,0.1136
316,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Santa Filomena,PH063022164,0.3493
317,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Pedro (Molo),PH063022158,0.2501
318,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Kahirupan,PH063022197,0.0299
319,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Nabitasan,PH063022114,0.795
320,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Ticud (La Paz),PH063022183,1.1731
321,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Burgos-Mabini-Plaza,PH063022099,0.2388
322,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Jereos,PH063022077,0.177
323,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Osmeña,PH063022123,0.0313
324,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Felix,PH063022150,0.0974
325,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Ortiz,PH063022122,0.0962
326,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Concepcion-Montes,PH063022038,0.2205
327,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Pale Benedicto Rizal (Mandurriao),PH063022196,0.3526
328,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Santo Niño Norte,PH063022167,0.1965
329,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Taytay Zone II,PH063022182,0.0576
330,Region VII,PH070000000,Cebu,PH072200000,Mandaue City,PH072230000,Tipolo,PH072230026,2.2622
331,Region VII,PH070000000,Cebu,PH072200000,Mandaue City,PH072230000,Banilad,PH072230003,1.9829
332,Region VII,PH070000000,Cebu,PH072200000,Mandaue City,PH072230000,Casuntingan,PH072230009,0.7908
333,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 36-A,PH083747138,0.0929
334,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 23,PH083747045,0.0147
335,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 89,PH083747122,0.8374
336,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 66-A,PH083747097,0.0868
337,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 43-A,PH083747068,0.0247
338,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 110 (Utap),PH083747136,1.9405
339,Region VIII,PH080000000,Leyte,PH083700000,Tacloban City,PH083747000,Barangay 97 (Cabalawan),PH083747131,3.1459
